Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
143366944,00000200,false,Tx,0,8,00,00,00,00,80,10,1C,8C,
143367165,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
143367384,000002F0,false,Tx,1,8,00,00,00,00,00,00,02,02,
143376948,00000200,false,Tx,0,8,00,00,00,00,80,10,1E,8E,
143377142,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
143377408,000002F0,false,Tx,1,8,00,00,00,00,00,00,03,03,
143386991,00000200,false,Tx,0,8,00,00,00,00,80,10,00,90,
143387207,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
143387527,000002F0,false,Tx,1,8,00,00,00,00,00,00,00,00,
143409581,00000200,false,Tx,0,8,00,00,00,00,80,10,02,92,
143409774,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
143409997,000002F0,false,Tx,1,8,00,00,00,00,00,00,01,01,
143410214,00000523,false,Tx,0,8,00,00,00,00,00,00,00,01,
143416997,00000200,false,Tx,0,8,00,00,00,00,80,10,04,94,
143417214,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
143417434,000002F0,false,Tx,1,8,00,00,00,00,00,00,02,02,
143427602,00000200,false,Tx,0,8,00,00,00,00,80,10,06,96,
143427788,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
143428057,000002F0,false,Tx,1,8,00,00,00,00,00,00,03,03,
143437333,00000200,false,Tx,0,8,00,00,00,00,80,10,08,98,
143437551,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
143437714,000002F0,false,Tx,1,8,00,00,00,00,00,00,00,00,
143446994,00000200,false,Tx,0,8,00,00,00,00,80,10,0A,9A,
143447214,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
143447430,000002F0,false,Tx,1,8,00,00,00,00,00,00,01,01,
143457000,00000200,false,Tx,0,8,00,00,00,00,80,10,0C,9C,
143457220,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
143457458,000002F0,false,Tx,1,8,00,00,00,00,00,00,02,02,
143466968,00000200,false,Tx,0,8,00,00,00,00,80,10,0E,9E,
143467172,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
143467409,000002F0,false,Tx,1,8,00,00,00,00,00,00,03,03,
143476970,00000200,false,Tx,0,8,00,00,00,00,80,10,10,80,
143477171,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
143477434,000002F0,false,Tx,1,8,00,00,00,00,00,00,00,00,
143487013,00000200,false,Tx,0,8,00,00,00,00,80,10,12,82,
143487231,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
143487474,000002F0,false,Tx,1,8,00,00,00,00,00,00,01,01,
143497167,00000200,false,Tx,0,8,00,00,00,00,80,10,14,84,
143497366,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
143497604,000002F0,false,Tx,1,8,00,00,00,00,00,00,02,02,
143507812,00000200,false,Tx,0,8,00,00,00,00,80,10,16,86,
143508044,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
143508253,000002F0,false,Tx,1,8,00,00,00,00,00,00,03,03,
143508521,00000523,false,Tx,0,8,00,00,00,00,00,00,00,02,
143517940,00000200,false,Tx,0,8,00,00,00,00,80,10,18,88,
143518046,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
143518123,000002F0,false,Tx,1,8,00,00,00,00,00,00,00,00,
143527897,00000200,false,Tx,0,8,00,00,00,00,80,10,1A,8A,
143528054,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
143528294,000002F0,false,Tx,1,8,00,00,00,00,00,00,01,01,
143537148,00000200,false,Tx,0,8,00,00,00,00,80,10,1C,8C,
143537341,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
143537512,000002F0,false,Tx,1,8,00,00,00,00,00,00,02,02,
143547141,00000200,false,Tx,0,8,00,00,00,00,80,10,1E,8E,
143547375,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
143547539,000002F0,false,Tx,1,8,00,00,00,00,00,00,03,03,
143557638,00000200,false,Tx,0,8,00,00,00,00,80,10,00,90,
143557848,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
143558057,000002F0,false,Tx,1,8,00,00,00,00,00,00,00,00,
143566930,00000200,false,Tx,0,8,00,00,00,00,80,10,02,92,
143567135,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
143567360,000002F0,false,Tx,1,8,00,00,00,00,00,00,01,01,
143576950,00000200,false,Tx,0,8,00,00,00,00,80,10,04,94,
143577132,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
143577286,000002F0,false,Tx,1,8,00,00,00,00,00,00,02,02,
143587553,00000200,false,Tx,0,8,00,00,00,00,80,10,06,96,
143587732,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
143587842,000002F0,false,Tx,1,8,00,00,00,00,00,00,03,03,
143597090,00000200,false,Tx,0,8,00,00,00,00,80,10,08,98,
143597316,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
143597537,000002F0,false,Tx,1,8,00,00,00,00,00,00,00,00,
143607173,00000200,false,Tx,0,8,00,00,00,00,80,10,0A,9A,
143607375,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
143607501,000002F0,false,Tx,1,8,00,00,00,00,00,00,01,01,
143607742,00000523,false,Tx,0,8,00,00,00,00,00,00,00,03,
143617488,00000200,false,Tx,0,8,00,00,00,00,80,10,0C,9C,
143617671,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
143617923,000002F0,false,Tx,1,8,00,00,00,00,00,00,02,02,
143626929,00000200,false,Tx,0,8,00,00,00,00,80,10,0E,9E,
143627145,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
143627395,000002F0,false,Tx,1,8,00,00,00,00,00,00,03,03,
143637741,00000200,false,Tx,0,8,00,00,00,00,80,10,10,80,
143637971,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
143638258,000002F0,false,Tx,1,8,00,00,00,00,00,00,00,00,
143658485,00000200,false,Tx,0,8,00,00,00,00,80,10,12,82,
143659110,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
143659225,000002F0,false,Tx,1,8,00,00,00,00,00,00,01,01,
143667609,00000200,false,Tx,0,8,00,00,00,00,80,10,14,84,
